,base_asset,Compare_asset,label
492,ISTB,SLQD,0
245,EMCB,SHY,0
493,ISTB,VCIT,0
47,ANGL,PFF,0
46,ANGL,FTSL,0
45,ANGL,FALN,0
75,BSJN,FTSL,0
346,FMB,SLQD,0
31,AGZD,VRIG,0
246,EMCB,VGSH,0
449,HYLS,HYXF,0
72,BND,SHY,0
271,FALN,PFF,0
452,IEI,IUSB,0
453,IEI,VWOB,0
515,LMBS,SHY,0
244,EMCB,MFLX,0
517,MBB,VMBS,0
241,EMB,GNMA,0
73,BND,VGSH,0
464,IGIB,ISTB,0
465,IGIB,SHY,0
466,IGIB,VGSH,0
581,VRIG,VTIP,0
580,VGIT,VWOB,0
579,VCSH,VGSH,0
578,VCIT,VGSH,0
494,ISTB,VCSH,0
576,SLQD,VGSH,0
575,SKOR,VGSH,0
574,SHY,SLQD,0
573,SHY,SKOR,0
495,IUSB,SHY,0
496,IUSB,VCIT,0
497,IUSB,VGSH,0
345,FMB,HYLS,0
247,EMCB,VMBS,0
469,IGSB,VGSH,0
371,FTSL,VTIP,0
372,FTSM,SHV,0
468,IGSB,VCSH,0
467,IGSB,ISTB,0
242,EMB,VMBS,0
243,EMCB,IEI,0
384,FTXH,QQQE,1
383,FTXH,QQQ,1
382,FTXH,QQEW,1
381,FTXH,PTNQ,1
380,FTXH,PSCT,1
379,FTXH,PSCC,1
378,FTXH,PRN,1
377,FTXH,ONEQ,1
376,FTXH,NXTG,1
375,FTXH,IUSG,1
374,FTXH,GRID,1
373,FTXH,FV,1
370,FTCS,PSET,1
369,FTCS,IUSG,1
368,FTC,PRN,1
385,FTXH,RDVY,1
386,FTXH,RTH,1
0,AADR,DAX,1
388,FTXH,TDIV,1
409,FVC,PSCC,1
410,FVC,PY,1
411,FYC,IJT,1
412,FYC,PSCD,1
413,FYT,INDY,1
414,FYT,NFTY,1
408,FVC,INDY,1
415,FYT,PRFZ,1
417,FYX,INDY,1
418,FYX,PSCC,1
419,FYX,PSCI,1
420,GENY,JSML,1
421,GENY,VTWG,1
422,GRID,NXTG,1
416,FYT,VYMI,1
407,FV,PSCC,1
406,FV,PPH,1
405,FTXR,VYMI,1
389,FTXH,VONE,1
390,FTXH,VONG,1
392,FTXO,KBWR,1
393,FTXO,NFTY,1
394,FTXO,QABA,1
395,FTXO,VYMI,1
396,FTXR,FYT,1
397,FTXR,IEUS,1
398,FTXR,INDY,1
399,FTXR,IPKW,1
400,FTXR,IXUS,1
401,FTXR,NFTY,1
402,FTXR,PIE,1
403,FTXR,RFEU,1
404,FTXR,VXUS,1
387,FTXH,SDG,1
391,FTXH,XT,1
